"Plants with Activity Synergy","Chemical Count","Total PPM"
"Abelmoschus esculentus","2","140.0"
"Acacia nilotica","1",
"Acacia farnesiana","1",
"Achillea millefolium","2",
"Acinos suaveolens","1",
"Aconitum napellus","1",
"Aconitum carmichaelii","1",
"Acorus calamus","1","7900.0"
"Actaea spicata","1",
"Actaea rubra","1",
"Actaea racemosa","1",
"Actaea pachypoda","1",
"Aesculus hippocastanum","2","60000.0"
"Aloe vera","2",
"Althaea officinalis","1",
"Anacardium occidentale","1","0.04"
"Anamirta cocculus","1",
"Ananas comosus","1",
"Anemone pulsatilla","1",
"Anethum graveolens","2",
"Angelica archangelica","1",
"Anisodus tanguticus","1",
"Anogeissus latifolia","1",
"Aquilegia vulgaris","1",
"Arctostaphylos uva-ursi","1",
"Areca catechu","1",
"Arnica montana","1",
"Artemisia vulgaris","1",
"Artemisia dracunculus","2","1200.0"
"Artemisia annua","1",
"Artemisia absinthium","2",
"Asparagus officinalis","2","4.0"
"Atropa bella-donna","2","17424.0"
"Avena sativa","1",
"Baptisia tinctoria","1",
"Belamcanda chinensis","1",
"Berberis vulgaris","1",
"Bertholletia excelsa","1","0.02"
"Boronia megastigma","1",
"Brassica rapa","1",
"Brassica oleracea var. sabellica l.","1",
"Brassica oleracea var. italica","1",
"Brassica oleracea var. gemmifera","1",
"Brassica oleracea var. capitata l.","2","29.0"
"Brassica nigra","1",
"Brassica napus var. napus","1",
"Brassica napus var. napobrassica","1",
"Calamintha nepeta","1",
"Camellia sinensis","1",
"Cananga odorata","1",
"Cannabis sativa","2",
"Capsicum frutescens","3",
"Capsicum annuum","2",
"Carum carvi","1",
"Carya ovata","1","0.02"
"Carya illinoensis","1","0.02"
"Carya glabra","1","2.2"
"Cassia marilandica","1",
"Castanospermum australe","1",
"Caulophyllum thalictroides","1",
"Ceiba pentandra","1",
"Ceratonia siliqua","2",
"Chelidonium majus","2",
"Cicer arietinum","1",
"Cichorium intybus","2",
"Cimicifuga racemosa","1",
"Cinnamomum camphora","1",
"Citrullus lanatus","1",
"Citrus sinensis","1",
"Citrus paradisi","1",
"Citrus aurantium","1",
"Clematis vitalba","1",
"Cnicus benedictus","1",
"Cocos nucifera","2","0.008"
"Commiphora myrrha","1",
"Consolida ajacis","1",
"Convallaria majalis","1","8000.0"
"Coptis spp","1",
"Coptis japonica","1",
"Coptis chinensis","1",
"Coriaria thymifolia","1",
"Coriaria myrtifolia","1",
"Corylus avellana","1","0.02"
"Crataegus rhipidophylla","3",
"Crataegus monogyna","1",
"Crataegus laevigata","3","3000.0"
"Crataegus cuneata","1",
"Croton tiglium","1","8000.0"
"Croton lechleri","1",
"Cucumis sativus","1",
"Cucumis melo","1",
"Cydonia oblonga","1","8000.0"
"Cymbopogon winterianus","1","322.0"
"Cymbopogon nardus","1","1728.0"
"Cytisus scoparius","1",
"Daphne mezereum","1","400.0"
"Datura stramonium","2","980.0"
"Datura metel","2","7120.0"
"Datura innoxia","2","19230.0"
"Datura candida","2",
"Daucus carota","2",
"Digitalis purpurea","2",
"Digitalis lanata","1",
"Diospyros virginiana","1","5.16"
"Duboisia myoporoides","2",
"Eleutherococcus senticosus","1",
"Eriobotrya japonica","1","28000.0"
"Eriodictyon californicum","1",
"Erythroxylum sp.","1",
"Erythroxylum coca","1",
"Eschscholzia californica","2",
"Eucommia ulmoides","1",
"Fallopia japonica","1",
"Ficus carica","1",
"Foeniculum vulgare","1","700.0"
"Fragaria spp","1",
"Frangula purshiana","1","200000.0"
"Frangula alnus","2","140000.0"
"Fraxinus rhynchophylla","1",
"Fraxinus ornus","1",
"Galega officinalis","1",
"Galium odoratum","1",
"Genista tinctoria","1",
"Geranium thunbergii","1",
"Ginkgo biloba","1",
"Glaucium flavum","1",
"Glycine max","4","120.0"
"Glycyrrhiza glabra","1",
"Gossypium sp","2","19000.0"
"Guarea rusbyi","1",
"Hedeoma pulegioides","2","2820.0"
"Helianthus annuus","3","20.0"
"Heliotropium indicus","1",
"Hibiscus sabdariffa","1",
"Hordeum vulgare","3",
"Huperzia spp","1",
"Hyoscyamus niger","2",
"Hypericum perforatum","1",
"Illicium verum","2","280.0"
"Iris x germanica","1",
"Iris versicolor","1",
"Juglans nigra","1","0.06"
"Juglans cinerea","1","0.04"
"Juniperus virginiana","1","5.28"
"Juniperus sabina","1",
"Juniperus macropoda","1",
"Juniperus communis","1",
"Kalanchoe daegrimontiana","1",
"Laburnum anagyroides","1",
"Lactuca virosa","1",
"Lactuca scariola","1",
"Lactuca sativa","3","40.6"
"Lantana camara","1",
"Laurus nobilis","1",
"Lens culinaris","1",
"Linum usitatissimum","2",
"Lippia javanica","1",
"Liquidambar styraciflua","1","9.719999999999999"
"Lycopersicon esculentum","3","12.0"
"Lycopodiella caroliniana","2",
"Lycopodium selago","1",
"Lycopodium cernuum","1",
"Lycopodium carolinianum","2",
"Lycopodium annotinum","1",
"Magnolia officinalis","1",
"Mahonia repens","1",
"Mahonia japonica","1",
"Mahonia aquifolium","1",
"Malus domestica","3","27600.0"
"Mandragora officinarum","1","7000.0"
"Matricaria recutita","1",
"Medicago sativa","1",
"Menispermum canadense","1",
"Mentha x rotundifolia","2","2440.0"
"Mentha spicata","1",
"Mentha pulegium","2","9640.0"
"Mentha longifolia","2","19840.0"
"Mentha arvensis var. piperascens","3",
"Mentha aquatica","2",
"Menyanthes trifoliata","1",
"Micromeria thymifolia","1",
"Micromeria fruticosa","1",
"Micromeria dalmatica","1",
"Micromeria croatica","1",
"Morinda citrifolia","1","8000.0"
"Musa x paradisiaca","2",
"Myristica fragrans","2","1100.0"
"Nandina domestica","1",
"Nasturtium officinale","1",
"Nerium oleander","1",
"Nicotiana tabacum","1",
"Nigella sativa","1",
"Nyssa sylvatica","1","11.74"
"Ocimum tenuiflorum","1",
"Ocimum gratissimum","2",
"Ocimum basilicum","4",
"Olea europaea","3",
"Panax quinquefolius","2","0.04"
"Papaver somniferum","1",
"Passiflora incarnata","2","1100.0"
"Perilla frutescens","1",
"Persea americana","1",
"Petroselinum crispum","1",
"Phaseolus vulgaris","3","210.0"
"Phaseolus lunatus","2","6.0"
"Phaseolus coccineus","1",
"Phellodendron amurense","1",
"Phoenix dactylifera","1",
"Physalis alkekingi","1",
"Pimenta racemosa","1",
"Pimenta dioica","1","0.4"
"Pimpinella anisum","1","400.0"
"Pinus echinata","1","2.52"
"Piper cubeba","1",
"Pistacia vera","1","0.02"
"Pisum sativum","2",
"Plectranthus incanus","1",
"Polygonum multiflorum","1",
"Polygonum hydropiper","1",
"Prunus spinosa","1",
"Prunus serotina","2","12.8"
"Prunus persica","2","140000.0"
"Prunus dulcis","2","93000.04"
"Prunus domestica","2","50000.0"
"Prunus cerasus","1",
"Prunus armeniaca","1","160000.0"
"Prunus africana","1",
"Pulsatilla chinensis","1",
"Punica granatum","2",
"Pycnanthemum virginianum","1","406.0"
"Pycnanthemum verticillatum","1",
"Pycnanthemum torreyi","1","124.0"
"Pycnanthemum tenuifolium","1","380.0"
"Pycnanthemum setosum","1","124.0"
"Pycnanthemum pycnanthemoides","1","928.0"
"Pycnanthemum pilosum","1","420.0"
"Pycnanthemum incanum","1","38.0"
"Pycnanthemum clinopodioides","1","7172.0"
"Pycnanthemum californicum","1","216.0"
"Pycnanthemum beadlei","1","3066.0"
"Pyrus communis","2","1.11"
"Quercus velutina","1","1.86"
"Quercus rubra","1","2.68"
"Quercus alba","1","3.04"
"Ranunculus bulbosus","1",
"Rheum palmatum","1",
"Rheum officinale","1","100000.0"
"Rhus copallina","1","13.26"
"Ribes uva-crispa","1",
"Ribes nigrum","1",
"Robinia pseudoacacia","1",
"Rosmarinus officinalis","2",
"Rubia cordifolia","1",
"Rubus sp.","1",
"Rubus idaeus","1",
"Rumex crispus","1",
"Rumex acetosella","1",
"Salvia triloba","1","3240.0"
"Salvia officinalis","2","52224.0"
"Sassafras albidum","2","11.98"
"Satureja montana","1",
"Satureja hortensis","1",
"Satureja douglasii","1","754.0"
"Scopolia carniolica","3",
"Senna occidentalis","1","38000.0"
"Senna obtusifolia","1","40000.0"
"Sideritis scardica","1",
"Sinomenium acutum","1",
"Solanum tuberosum","3",
"Solanum melongena","1",
"Solanum mammosum","1",
"Solanum dulcamara","1",
"Sophora secundiflora","1",
"Sophora japonica","1",
"Sophora angustifolia","1",
"Sorbus aucubaria","1","1234.0"
"Spartium junceum","1","12600.0"
"Spinacia oleracea","1",
"Stellaria media","1",
"Stephania glabra","1",
"Stevia rebaudiana","1",
"Strophanthus kombe","1","200000.0"
"Strophanthus gratus","2",
"Strophanthus divaricatus","2",
"Symphoricarpos orbiculatus","1","8.8"
"Tagetes lucida","1",
"Tanacetum vulgare","1",
"Taxus baccata","1",
"Terminalia chebula","2",
"Terminalia catappa","2",
"Terminalia arjuna","2",
"Teucrium polium","1",
"Teucrium gnaphalodes","1",
"Theobroma cacao","2",
"Thespesia populnea","1",
"Thevetia peruviana","2",
"Thevetia neriifolia","2",
"Thuja occidentalis","1",
"Thymus orospedanus","1","2.0"
"Trifolium pratense","1",
"Triticum aestivum","1",
"Tsuga canadensis","1",
"Ulex europaeus","1",
"Umbellularia californica","2","31200.0"
"Uncaria tomentosa","1",
"Uncaria guianensis","1",
"Urtica dioica","1",
"Vaccinium myrtillus","1",
"Vaccinium macrocarpon","1",
"Vaccinium corymbosum","1","330.0"
"Valeriana officinalis","1",
"Valeriana jatamansi","1",
"Vanilla planifolia","1",
"Veratrum album","1",
"Viburnum prunifolium","1",
"Viburnum opulus","1",
"Vicia faba","1",
"Vigna unguiculata","1","4.8"
"Vitis vinifera","2",
"Withania somnifera","1",
"Xanthorhiza simplicissima","1",
"Zanthoxylum clava-herculis","1",
"Zanthoxylum americanum","1",
"Zea mays","4","2.7"
